pair_id,target_word,pos,split,label,model,similarity
v2_00001,ಕಟ್ಟು,noun,train,0,mbert,0.87582767
v2_00002,ಕಟ್ಟು,noun,train,1,mbert,0.9581036
v2_00003,ಕಠಿಣವಾದಂತ,adjective,train,1,mbert,0.9444643
v2_00004,ಹಾನಿ,noun,train,0,mbert,-0.034957267
v2_00005,ದಂಡ,noun,train,1,mbert,0.9271747
v2_00006,ನೀಚ,adjective,train,1,mbert,0.93076754
v2_00007,ಗಂಟು,noun,train,1,mbert,0.93894845
v2_00008,ಕಟ್ಟು,noun,train,1,mbert,0.965065
v2_00009,ಜಾಲ,noun,train,1,mbert,0.9454003
v2_00010,ರಕ್ಷಿಸು,verb,train,1,mbert,0.9280034
v2_00011,ಹೇಳು,verb,train,0,mbert,0.9885484
v2_00012,ಅಧಿಕೃತ,adjective,train,1,mbert,0.94843924
v2_00013,ಕಠಿಣವಾದಂತಹ,adjective,train,1,mbert,0.9595933
v2_00014,ಸಮಯ,noun,train,0,mbert,0.7150612
v2_00015,ಕಠಿಣ,adjective,train,1,mbert,0.88348365
v2_00016,ಮುರಿ,verb,train,0,mbert,0.95551634
v2_00017,ಹೊಡೆ,verb,train,0,mbert,0.8564286
v2_00018,ಸಮಯ,noun,train,0,mbert,0.7954901
v2_00019,ಒಳ್ಳೆಯ,adjective,train,1,mbert,0.93125033
v2_00020,ದಂಡ,noun,train,0,mbert,0.9181242
v2_00021,ಹಾಕು,verb,train,1,mbert,0.9657827
v2_00022,ಕಠಿಣವಾದ,adjective,train,0,mbert,0.8385099
v2_00023,ಗಂಟು,noun,train,1,mbert,0.9491441
v2_00024,ನಿಲ್ಲಿಸು,verb,train,0,mbert,0.89436597
v2_00025,ಹರಡು,verb,train,1,mbert,0.9408301
v2_00026,ಜ್ಞಾನ,noun,train,0,mbert,0.898594
v2_00027,ದಂಡ,noun,train,0,mbert,0.9457903
v2_00028,ವರ್ಗ,noun,train,0,mbert,0.9452882
v2_00029,ಮುಚ್ಚು,verb,train,1,mbert,0.9416719
v2_00030,ಕಟ್ಟು,noun,train,0,mbert,0.8634819
v2_00031,ಸಮಯ,noun,train,0,mbert,0.9241344
v2_00032,ಕಠಿಣ,adjective,train,0,mbert,0.87401533
v2_00033,ವರ್ಗ,noun,train,1,mbert,0.8760146
v2_00034,ಬರು,verb,train,1,mbert,0.93910223
