x,y,sense_id,sentence
22.294392,5.720298,1,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.
-47.523895,-26.404472,1,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.
14.026312,-104.050644,2,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.
-7.042938,-90.10575,2,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.
44.158424,-25.849802,5,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.
7.7026486,-24.078106,5,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.
68.39801,14.206824,3,ಕಾಲ ನೋಡುತ್ತಿರುವುದೇ ಅದು.
-23.807997,3.3524106,3,ಕಾಲದ ಸಮಯ ನಿಗದಿತವಾಗಿದೆ.
70.78925,51.658604,4,ಕಾಲ ಬಟ್ಟೆ ಧರಿಸಿ.
41.266777,29.108809,4,ಕಾಲ ಮೇಘ ಗಾಳಿ ಬೀಸುತ್ತಿದೆ.
