model,target_word,sentence,true_sense,rank,mrr_component
mbert,ಮಾತು,ನನ್ನ ಮಾತು ಆಲಿಸಿ.,1,3,0.3333333333333333
mbert,ಮಾತು,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,1,3,0.3333333333333333
mbert,ಮಾತು,"ಮಾತುಗಳ ಅರ್ಥ ಅಲ್ಲ, ಭಾವ ಪ್ರಮುಖ.",1,3,0.3333333333333333
mbert,ಮಾತು,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,2,1,1.0
mbert,ಮಾತು,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ.,2,1,1.0
mbert,ಮಾತು,ಕ್ರೀಡಾ ಮಾತು ಈತನಿಗೆ ಆಸಕ್ತಿ.,2,1,1.0
mbert,ಮಾತು,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,3,3,0.3333333333333333
mbert,ಮಾತು,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,3,2,0.5
mbert,ಹಸ್ತ,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,1,3,0.3333333333333333
mbert,ಹಸ್ತ,ಹಸ್ತ ತೊಳೆಯಿರಿ.,1,4,0.25
mbert,ಹಸ್ತ,ಬಲಹಸ್ತ ಕಾಲಿದಾಗ ಶಸ್ತ್ರ ಸರಿಸಿ.,1,2,0.5
mbert,ಹಸ್ತ,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,2,3,0.3333333333333333
mbert,ಹಸ್ತ,ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ.,2,1,1.0
mbert,ಹಸ್ತ,ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,3,4,0.25
mbert,ಹಸ್ತ,ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ.,3,3,0.3333333333333333
mbert,ಹಸ್ತ,ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,4,3,0.3333333333333333
mbert,ಹಸ್ತ,ಆ ಭೂಮಿ ನಿನ್ನ ಹಸ್ತದಲ್ಲಿದೆ.,4,3,0.3333333333333333
mbert,ಬಾಗ,ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ.,1,1,1.0
mbert,ಬಾಗ,ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ.,1,1,1.0
mbert,ಬಾಗ,ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ.,2,3,0.3333333333333333
mbert,ಬಾಗ,ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ.,2,3,0.3333333333333333
mbert,ಬಾಗ,ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ.,3,1,1.0
mbert,ಬಾಗ,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.,3,2,0.5
mbert,ಚಿತ್ರ,ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.,1,1,1.0
mbert,ಚಿತ್ರ,ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ?,1,2,0.5
