model,target_word,sentence,true_sense,cluster,ari
xlmr,ಅರ್ಥ,ಈ ಮಾತುಗಳ ಅರ್ಥ ತೃಪ್ತಿದಾಯಕವಾಗಿದೆ.,1,3,0.27586206896551724
xlmr,ಅರ್ಥ,ಪದದ ಅರ್ಥ ತಿಳಿಸಿ.,1,3,0.27586206896551724
xlmr,ಅರ್ಥ,ಸಭೆ ಅರ್ಥ ಸೂಚಿಸಿದೆ.,2,1,0.27586206896551724
xlmr,ಅರ್ಥ,ಅರ್ಥ ಪಾಲಿಸುವುದು ಅವಶ್ಯಕ.,2,0,0.27586206896551724
xlmr,ಅರ್ಥ,ಯುವಕನ ಅರ್ಥ ಉನ್ನತಿಯಿತು.,3,2,0.27586206896551724
xlmr,ಅರ್ಥ,ಈ ಪ್ರಯೋಗದ ಅರ್ಥ ತಪ್ಪಾದ ವಿಷಯ ಪಕ್ಷೀಕರಿಸುವುದು.,3,3,0.27586206896551724
xlmr,ಅರ್ಥ,ಆ ರತ್ನದ ಅರ್ಥ ತುಂಬಾ ಹೆಚ್ಚು.,4,0,0.27586206896551724
xlmr,ಅರ್ಥ,ಮಾನವ ಜೀವನದ ಅರ್ಥ ಅಮೂಲ್ಯ.,4,0,0.27586206896551724
xlmr,ಕಬ್ಬಿ,ಕಬ್ಬಿ ಬಟ್ಟೆ ಹೊಗಳುವುದಲ್ಲ.,1,1,-0.06060606060606061
xlmr,ಕಬ್ಬಿ,ಕಬ್ಬಿ ಚರ್ಮ ಶೇಕಡೆ.,1,0,-0.06060606060606061
xlmr,ಕಬ್ಬಿ,ಕಬ್ಬಿ ಮಾತು ಆಘಾತ ಬಿಡುತ್ತದೆ.,2,1,-0.06060606060606061
xlmr,ಕಬ್ಬಿ,ಕಬ್ಬಿ ವ್ಯವಹಾರ ನಿಜನಾಗಿ ನೋವಾಗಿಸುತ್ತದೆ.,2,1,-0.06060606060606061
xlmr,ಕಬ್ಬಿ,ಕಬ್ಬಿ ಮನುಷ್ಯ ಕಷ್ಟ ಸಹಿಸುತ್ತಾನೆ.,3,2,-0.06060606060606061
xlmr,ಕಬ್ಬಿ,ಕಬ್ಬಿ ನಿರ್ಮಾಣ ದೀರ್ಘಸ್ಥಿರ.,3,1,-0.06060606060606061
xlmr,ಕರಣ,ಈ ಘಟನೆಯ ಕರಣ ಎಂದರೆ ನಿರ್ಲಕ್ಷ್ಯತೆ.,1,2,0.07407407407407407
xlmr,ಕರಣ,ಅನಸ್ಥೆಯ ಕರಣ ಕಾರ್ಯಭಾರ ಹೆಚ್ಚು.,1,2,0.07407407407407407
xlmr,ಕರಣ,ಶಿಕ್ಷಣ ಜೀವನ ಸುಧಾರಣೆಯ ಕರಣ.,2,0,0.07407407407407407
xlmr,ಕರಣ,ಕರ್ನಮ ಭರತಾವಿಯ ಕರಣಗಳು ಅದ್ಭುತವಾಗಿವೆ.,2,1,0.07407407407407407
xlmr,ಕರಣ,ಪದವಿನ ಕರಣ ವಿಷಯ ವಿಶ್ಲೇಷಿಸಬೇಕು.,3,2,0.07407407407407407
xlmr,ಕರಣ,ಅಪರ ಕರಣ ತೆರೆದುಕೊಂಡಿದೆ.,3,0,0.07407407407407407
xlmr,ಕಾಲ,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.,1,4,0.425531914893617
xlmr,ಕಾಲ,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.,1,2,0.425531914893617
xlmr,ಕಾಲ,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,2,0,0.425531914893617
xlmr,ಕಾಲ,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,2,0,0.425531914893617
xlmr,ಕಾಲ,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.,5,4,0.425531914893617
xlmr,ಕಾಲ,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.,5,4,0.425531914893617
