pair_id,target_word,pos,sentence1,sentence2,synset_1,synset_2,label,split
v2_00001,ಕಟ್ಟು,noun,ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಟ್ಟು ಎಂಬ ಪದದ ಅರ್ಥ ಹೊತ್ತುಕೊಂಡು ಹೋಗಲು ಅನುಕೂಲಿಸುವಂತೆ ಸುತ್ತಿದ ಅಥವಾ ಒಟ್ಟಿಗೆ ಕಟ್ಟಿದ ವಸ್ತುಗಳು,ಕಟ್ಟು ಕುರಿತು ಕಟ್ಟುವ ಕೆಲಸ,12459,23565,0,train
v2_00002,ಕಟ್ಟು,noun,ಕಟ್ಟು ಕುರಿತು ಚಿತ್ರ ಅಥವಾ ಪೋಟೋಗಳಿಗೆ ಅದರ ಸುತ್ತಲೂ ಕಟ್ಟುವ ಕಟ್ಟು,ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಟ್ಟು ಎಂಬ ಪದದ ಅರ್ಥ ಚಿತ್ರ ಅಥವಾ ಪೋಟೋಗಳಿಗೆ ಅದರ ಸುತ್ತಲೂ ಕಟ್ಟುವ ಕಟ್ಟು,2588,2588,1,train
v2_00003,ಕಠಿಣವಾದಂತ,adjective,ಕಠಿಣವಾದಂತ ಕುರಿತು ಯಾವುದೋ ಒಂದು ಪೂರ್ಣವಾಗಿ ಅಥವಾ ಸುಲಭವಾಗಿ ಅರ್ಥವಾಗುವುದಿಲ್ಲವೋ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಠಿಣವಾದಂತ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದೋ ಒಂದು ಪೂರ್ಣವಾಗಿ ಅಥವಾ ಸುಲಭವಾಗಿ ಅರ್ಥವಾಗುವುದಿಲ್ಲವೋ,16286,16286,1,train
v2_00004,ಹಾನಿ,noun,"ಭೌತಿಕ ವಸ್ತುಗಳ ಹಾನಿಯೆಂದರೆ ""ಅವು ಮುರಿಯುವುದಕ್ಕೆ ಕಾರಣವಾಗುವ ಕ್ರಮವಾಗಿ ಹೆಚ್ಚಾಗುವ ಭೌತಿಕ ಪ್ರಕ್ರಿಯೆ"", ಮತ್ತು ಗೋಚರವಾಗದಿದ್ದರೂ, ರಚನೆಯನ್ನು ದುರ್ಬಲವಾಗಿಸುವ ಯಾಂತ್ರಿಕ ಒತ್ತಡವನ್ನು ಒಳಗೊಳ್ಳುತ್ತದೆ","ಈ ವಾಕ್ಯದಲ್ಲಿ ಹಾನಿ ಎಂಬ ಪದದ ಅರ್ಥ ಕೆಲಸ, ಪ್ರಗತಿ, ಮಾರ್ಗ ಮುಂತಾದವುಗಳಲ್ಲಿ ಎದ್ದು ನಿಲ್ಲುವ ಅಥವಾ ಬರುವ ಅಡಚಣೆ",11534,2524,0,train
v2_00005,ದಂಡ,noun,ದಂಡ ಕುರಿತು ದಂಡ ಅಂದರೆ ಅಪರಾಧಿಯಿಂದ ಹಣವನ್ನು ವಸೂಲಿಮಾಡುವುದು,ದಂಡದ ಒಂದು ಸಾಮಾನ್ಯ ಉದಾಹರಣೆಯೆಂದರೆ ಸಂಚಾರ ಕಾನೂನುಗಳ ಉಲ್ಲಂಘನೆಗಳಿಗಾಗಿ ಪಾವತಿಸಲಾದ ಹಣ,3500,3500,1,train
v2_00006,ನೀಚ,adjective,ನೀಚ ಹೆಂಗಸನ್ನು ಸಮಾಜ ಎಂದೂ ಗೌರವಿಸುವುದಿಲ್ಲ.,ನೀಚ ಕುರಿತು ಕೆಟ್ಟ ಚರಿತ್ರೆಯನ್ನು ಹೊಂದಿರುವವ,13177,13177,1,train
v2_00007,ಗಂಟು,noun,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಗಂಟು ಎಂಬ ಪದದ ಅರ್ಥ ದ್ವಿದಳ ಧಾನ್ಯಗಳಂಥ ಲೆಗ್ಯು ಮಿನೀಸೀ ವಂಶದ ಸಸ್ಯಗಳ ಬೇರುಗಳ ಮೇಲೆ ಕಂಡುಬರುವ, ಬ್ಯಾಕ್ಟೀರಿಯಾಗಳನ್ನೊಳಗೊಂಡ ಗಂಟು",ಮೊದಲನೆಯ ಸಾಮರ್ಥ್ಯದ ಗಂಟು ದಿನಬಳಕೆ ಉಪಯೋಗದಲ್ಲಿರುವಂಥದು,13131,13131,1,train
v2_00008,ಕಟ್ಟು,noun,ಕಟ್ಟು ಕುರಿತು ಗಾಯಕ್ಕೆ ಔಷಧಿ ಹಚ್ಚಿ ಪಟ್ಟಿ ಕಟ್ಟುವ ಕೆಲಸ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಟ್ಟು ಎಂಬ ಪದದ ಅರ್ಥ ಗಾಯಕ್ಕೆ ಔಷಧಿ ಹಚ್ಚಿ ಪಟ್ಟಿ ಕಟ್ಟುವ ಕೆಲಸ,5778,5778,1,train
v2_00009,ಜಾಲ,noun,ಜಾಲ ಕುರಿತು ಸಂಕ್ಷಿಪ್ತ ಮತ್ತು ಗುಪ್ತವಾಗಿ ಸಂದೇಶ ಕಳುಹಿಸಲು ಕೆಲಸಕ್ಕೆ ಬರುವ ತಂತ್ರ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಜಾಲ ಎಂಬ ಪದದ ಅರ್ಥ ಸಂಕ್ಷಿಪ್ತ ಮತ್ತು ಗುಪ್ತವಾಗಿ ಸಂದೇಶ ಕಳುಹಿಸಲು ಕೆಲಸಕ್ಕೆ ಬರುವ ತಂತ್ರ,12204,12204,1,train
v2_00010,ರಕ್ಷಿಸು,verb,ರಕ್ಷಿಸು ಕುರಿತು ಯಾವುದನ್ನಾದರು ಅಥವಾ ಯಾರನ್ನಾದರೂ ಉಳಿಸುವ ಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ರಕ್ಷಿಸು ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದನ್ನಾದರು ಅಥವಾ ಯಾರನ್ನಾದರೂ ಉಳಿಸುವ ಕ್ರಿಯೆ,35984,35984,1,train
