target_word,sentence,model
ಮಾತು,ನನ್ನ ಮಾತು ಆಲಿಸಿ.,muril
ಮಾತು,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,muril
ಮಾತು,"ಮಾತುಗಳ ಅರ್ಥ ಅಲ್ಲ, ಭಾವ ಪ್ರಮುಖ.",muril
ಮಾತು,ಪದವಿನ ಮಾತು ಆಲಿಸಿ.,muril
ಮಾತು,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,muril
ಮಾತು,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ.,muril
ಮಾತು,ಕ್ರೀಡಾ ಮಾತು ಈತನಿಗೆ ಆಸಕ್ತಿ.,muril
ಮಾತು,ಉದ್ಯೋಗ ಮಾತುವನ್ನು ಪರಿಹರಿಸಬೇಕು.,muril
ಮಾತು,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,muril
ಮಾತು,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,muril
ಹಸ್ತ,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,muril
ಹಸ್ತ,ಹಸ್ತ ತೊಳೆಯಿರಿ.,muril
ಹಸ್ತ,ಬಲಹಸ್ತ ಕಾಲಿದಾಗ ಶಸ್ತ್ರ ಸರಿಸಿ.,muril
ಹಸ್ತ,ನನ್ನ ಹಸ್ತ ಗ್ರಹಿಸಿ.,muril
ಹಸ್ತ,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,muril
ಹಸ್ತ,ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ.,muril
ಹಸ್ತ,ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,muril
ಹಸ್ತ,ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ.,muril
