target_word,sentence,model
ಮಾತು,ನನ್ನ ಮಾತು ಆಲಿಸಿ.,xlmr
ಮಾತು,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,xlmr
ಮಾತು,"ಮಾತುಗಳ ಅರ್ಥ ಅಲ್ಲ, ಭಾವ ಪ್ರಮುಖ.",xlmr
ಮಾತು,ಪದವಿನ ಮಾತು ಆಲಿಸಿ.,xlmr
ಮಾತು,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,xlmr
ಮಾತು,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ.,xlmr
ಮಾತು,ಕ್ರೀಡಾ ಮಾತು ಈತನಿಗೆ ಆಸಕ್ತಿ.,xlmr
ಮಾತು,ಉದ್ಯೋಗ ಮಾತುವನ್ನು ಪರಿಹರಿಸಬೇಕು.,xlmr
ಮಾತು,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,xlmr
ಮಾತು,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,xlmr
ಹಸ್ತ,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,xlmr
ಹಸ್ತ,ಹಸ್ತ ತೊಳೆಯಿರಿ.,xlmr
ಹಸ್ತ,ಬಲಹಸ್ತ ಕಾಲಿದಾಗ ಶಸ್ತ್ರ ಸರಿಸಿ.,xlmr
ಹಸ್ತ,ನನ್ನ ಹಸ್ತ ಗ್ರಹಿಸಿ.,xlmr
ಹಸ್ತ,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,xlmr
ಹಸ್ತ,ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ.,xlmr
ಹಸ್ತ,ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,xlmr
ಹಸ್ತ,ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ.,xlmr
ಹಸ್ತ,ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,xlmr
ಹಸ್ತ,ಆ ಭೂಮಿ ನಿನ್ನ ಹಸ್ತದಲ್ಲಿದೆ.,xlmr
ಬಾಗ,ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ.,xlmr
ಬಾಗ,ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ.,xlmr
ಬಾಗ,ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ.,xlmr
ಬಾಗ,ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ.,xlmr
ಬಾಗ,ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ.,xlmr
ಬಾಗ,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.,xlmr
ಚಿತ್ರ,ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.,xlmr
ಚಿತ್ರ,ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ?,xlmr
ಚಿತ್ರ,ಸಮಾಜದಲ್ಲಿ ಅನೇಕ ಚಿತ್ರ ಜನತೆ ವಾಸ ಮಾಡುತ್ತಾರೆ.,xlmr
ಚಿತ್ರ,ಈ ಕಾದಂಬರಿಯು ಚಿತ್ರವಾದ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿದೆ.,xlmr
ಚಿತ್ರ,ಆ ಚಿತ್ರ ಘಟನೆ ಕೇಳಲು ಅದ್ಭುತವಾಗಿದೆ.,xlmr
ಚಿತ್ರ,ಚಿತ್ರವಾದ ಸಂಗತಿ ಸಂಭವಿಸಿದೆ.,xlmr
ಚಿತ್ರ,ರವಿಶಂಕರ ಸುಂದರ ಚಿತ್ರ ಸೃಷ್ಟಿಸುತ್ತಾರೆ.,xlmr
ಚಿತ್ರ,ಈ ಚಿತ್ರ ಶಿಲ್ಪ ಅಸಾಧಾರಣ ಕಾದಂಬರಿ.,xlmr
ಕಾಲ,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.,xlmr
ಕಾಲ,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.,xlmr
ಕಾಲ,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,xlmr
ಕಾಲ,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,xlmr
ಕಾಲ,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.,xlmr
ಕಾಲ,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.,xlmr
ಧರಣಿ,ಧರಣಿ ಭ್ರಮಿಸುತ್ತಾ ಇರುತ್ತದೆ.,xlmr
ಧರಣಿ,ಧರಣಿಯ ಮೇಲೆ ಮಿಲಿಯನ ಜನ ವಾಸ ಮಾಡುತ್ತಾರೆ.,xlmr
ಧರಣಿ,ಈ ಕೋಟೆಯ ಧರಣಿ ಕಲ್ಲಿನಿಂದ ಕೆತ್ತಿರುವುದು.,xlmr
ಧರಣಿ,ಮನೆಯ ಧರಣಿ ಬಲಾಗಿರುವುದು ಅಗತ್ಯ.,xlmr
ಚಕ್ರ,ರಥದ ಚಕ್ರ ಭಾರೀ ಮರದಿಂದ ತಯಾರಾಗಿದೆ.,xlmr
ಚಕ್ರ,ಮೊಟೊರಿನ ಚಕ್ರ ತಿರುಗುತ್ತಿದೆ.,xlmr
