word,pos,synset_id,gloss,lemma_names
ವರ್ಗ,noun,1144,ರಕ್ತಸಂಬಂಧದ ಏಕತೆಯನ್ನುಳ್ಳ ವರ್ಗ ಅಥವಾ ಸಮೂಹ,"[""ವಂಶ"", ""ಕುಲ"", ""ಜಾತಿ"", ""ವರ್ಗ""]"
ವರ್ಗ,noun,1209,"ಹಿಂದುಗಳ ನಾಲ್ಕು ವಿಭಾಗ- ಬ್ರಾಹ್ಮಣ, ಕ್ಷತ್ರಿಯ, ವೈಷ್ಯ ಮತ್ತು ಶೂದ್ರ","[""ವರ್ಣ"", ""ವರ್ಗ""]"
ವರ್ಗ,noun,12490,ಯಾವುದೇ ಸಂಖ್ಯೆಯನ್ನು ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಮೊತ್ತ,"[""ವರ್ಗ""]"
ವರ್ಗ,noun,12491,"ಯಾವುದೋ ಒಂದು ಆಕೃತಿಯ ಉದ್ದ, ಅಗಲ ಮತ್ತು ನಾಲ್ಕು ಕಡೆಯೂ ಒಂದೇ ಸಮವಾಗಿ ಇರುವ","[""ವರ್ಗ""]"
ವರ್ಗ,noun,12492,ಉಚ್ಚಾರಣ್ಮಕ ಧ್ವನಿವಿಜ್ಞಾನದಲ್ಲಿ ಒಂದು ಸ್ಥಾನದಿಂದ ಉಚ್ಚರಿಸಲ್ಪಡುವ ಸ್ಪರ್ಶ ಧ್ವನಿ (ತಡೆ ಧ್ವನಿ) ಮತ್ತು ಅನುನಾಸಿಕ ಧ್ವನಿಗಳ ಸಮೂಹ,"[""ವರ್ಗ"", ""ವ್ಯಂಜನ_ವರ್ಗ"", ""ಅಕ್ಷರ_ವರ್ಗ""]"
ವರ್ಗ,noun,14271,"ಆಸ್ತಿ, ಹಕ್ಕು ಮೊದಲಾದವುಗಳ ವರ್ಗಾವಣೆ ಮಾಡುವ ಕ್ರಿಯೆ","[""ವರ್ಗಾವಣೆ"", ""ವರ್ಗ"", ""ವರ್ಗಾವರ್ಗಿ"", ""ಹಸ್ತಾಂತರಣ""]"
ವರ್ಗ,noun,27697,ಒಂದೇ ಬಾರಿಗೆ ಡಿಗ್ರಿ ಪಡೆಯುವ ವಿದ್ಯಾರ್ಥಿಗಳ ಸಮೂಹ,"[""ತರಗತಿ"", ""ವರ್ಗ"", ""ಕ್ಲಾಸ್"", ""ವಿಭಾಗ""]"
ವರ್ಗ,noun,28432,ಜನರ ಸಮೂಹ ಒಂದು ವಿಶಿಷ್ಟವಾದ ಸ್ನಾನ ಅಥವಾ ಕ್ಷೇತ್ರದಲ್ಲಿ ಇರುತ್ತದೆ,"[""ಸಮಾಜ"", ""ಸಮುದಾಯ"", ""ವರ್ಗ""]"
ವರ್ಗ,noun,3406,ಯಾವುದೇ ಒಂದು ಲಕ್ಷಣವನ್ನು ಅಥವಾ ಸಮಾನ ಗುಣವನ್ನು ಆಧರಿಸಿ ಮಾಡುವ ಸಮೂಹಗಳ ಭಾಗ,"[""ವರ್ಗ"", ""ಶ್ರೇಣಿ"", ""ಬಗೆ"", ""ಪಂಗಡ""]"
ವರ್ಗ,noun,3562,ವಂಶಪಾರಂಪರ್ಯರ ವಿಚಾರವಾಗಿ ಮಾಡಿಕೊಂಡಿರುವ ಮಾನವ ಸಮಾಜದ ವಿಭಾಗ,"[""ಜಾತಿ"", ""ವರ್ಗ"", ""ಪಂಗಡ"", ""ಪಂಥ"", ""ಜನಾಂಗ"", ""ವರ್ಣ"", ""ವ್ಯಕ್ತಿಗತ"", ""ಒಂದೇ_ಜಾತಿಯ_ಜನರ_ಸಮೂಹ""]"
ವರ್ಗ,noun,37572,"ಶರೀರ ಅಥವಾ ದೇಹದ ಆಧಾರದ ಮೇಲೆ ಜೀವಿಗಳು, ಪದಾರ್ಥ ಇತ್ಯಾದಿ ಬೇರೆ ಬೇರ ವರ್ಗ ಅಥವಾ ವಿಭಾಗ ಮಾಡಿರುವುದು","[""ವರ್ಗ""]"
ವರ್ಗ,noun,37603,ಗಣಿತದಲ್ಲಿ ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಮೊತ್ತ,"[""ವರ್ಗ""]"
ವರ್ಗ,noun,4821,"ಒಂದು ಜಾಗದಲ್ಲಿ ವಾಸಿಸುವಂತಹ ಅಥವಾ ಒಂದು ಪ್ರಕಾರದ ಕೆಲಸ ಮಾಡುವ ಜನರ ಗುಂಪು, ವರ್ಗ ಅಥವಾ ಸಮೂಹ","[""ಸಮುದಾಯ"", ""ಸಮಾಜ"", ""ಮಂಡಲಿ"", ""ವರ್ಗ"", ""ಪಂಗಡ"", ""ಗುಂಪು"", ""ಸಮೂಹ""]"
ವರ್ಗ,noun,5573,"ಜೀವ-ಜಂತುಗಳ ಆಕೃತಿ, ಗಾತ್ರ ಮೊದಲಾದವುಗಳ ಆಧಾರದ ಮೇಲೆ ವಿಭಾಗಿಸಿರುವುದು","[""ಜಾತಿ"", ""ವರ್ಗ""]"
ವರ್ಗ,noun,8463,ಅಧಿಕಾರಿ ಅಥವಾ ಕಾರ್ಯಕರ್ತರ ಒಂದು ಸ್ಥಾನ ಅಥವಾ ವಿಭಾಗದಿಂದ ಬೇರೆ ಸ್ಥಾನ ಅಥವಾ ವಿಭಾಗಕ್ಕೆ ವರ್ಗ ಮಾಡುವ ಕಳುಹಿಸುವ ಕ್ರಿಯೆ,"[""ವರ್ಗಾವಣೆ"", ""ವರ್ಗ"", ""ಬದಲಿ"", ""ಪರಿವರ್ತನೆ""]"
ವರ್ಗ,noun,8539,ಸಮಸ್ತ ವರ್ಗ ಅಥವಾ ಸಮೂಹದ ಯಾವುದೋ ಒಂದು ಅಂಗ ಅಥವಾ ಒಂದು ಭಾಗವೆಂದು ವಿಷ್ಲೇಶಣೆ ಮಾಡುಲು ಯಾವುದೇ ಪ್ರಕಾರ ಭಿನ್ನ ಮತ್ತು ಸ್ವತಂತ್ರವೆಂದು ನಂಬುವರು ಅಥವಾ ತಿಳಿಯುವರು,"[""ವರ್ಗ""]"
ಸಮೂಹ,noun,10729,"ಒಂದು ಸ್ಥಳದಲ್ಲಿ ಇದ್ದು ಅಥವಾ ಒಬ್ಬರಿಗಿಂತ ಹೆಚ್ಚು ಮನುಷ್ಯ, ಪ್ರಾಣಿ ಮುಂತಾದವುಗಳು ಒಂದೆ ಸ್ಥಳದಲ್ಲಿ ಇರುವುದು","[""ಸಮೂಹ"", ""ಗುಂಪು"", ""ಮಂದೆ""]"
ಸಮೂಹ,noun,12033,ಜನ ಸಮೂಹದವರ ಜೊತೆ ವೇಗವಾಗಿ ಮುಂದೆ ಬರುವ ಪ್ರಕ್ರಿಯೆ,"[""ಗುಂಪು"", ""ಸಮೂಹ""]"
ಸಮೂಹ,noun,13289,"ಪ್ರಾಚೀನ ಕಾಲದ ವಿದ್ವಾಂಸರುಗಳ, ಬ್ರಾಹ್ಮಣರುಗಳ ಸಭೆ ಇದನ್ನು ರಾಜ ಯಾವುದಾದರು ವಿಷಯದ ಬಗ್ಗೆ ತೀರ್ಮಾನವನ್ನು ತೆಗೆದು ಕೊಳ್ಳುವುದಕ್ಕೆ ಅಥವಾ ಚರ್ಚೆ ಮಾಡುವುದಕ್ಕೆ ಕರೆಯುತ್ತಿದ್ದನು","[""ಪರಿಷತ್ತು"", ""ಸಭೆ"", ""ಸಮೂಹ""]"
ಸಮೂಹ,noun,2206,ಯಾವುದಾದರೂ ಒಂದೇ ವಸ್ತುವಿನ ಸಮೂಹ,"[""ರಾಶಿ"", ""ಗುಂಪು"", ""ಸಮೂಹ""]"
