pair_id,target_word,pos,split,label,model,similarity
v2_00001,ಕಟ್ಟು,noun,train,0,xlmr,0.9997576
v2_00002,ಕಟ್ಟು,noun,train,1,xlmr,0.9998188
v2_00003,ಕಠಿಣವಾದಂತ,adjective,train,1,xlmr,0.9998858
v2_00004,ಹಾನಿ,noun,train,0,xlmr,0.9996283
v2_00005,ದಂಡ,noun,train,1,xlmr,0.9997768
v2_00006,ನೀಚ,adjective,train,1,xlmr,0.9934312
v2_00007,ಗಂಟು,noun,train,1,xlmr,0.99944776
v2_00008,ಕಟ್ಟು,noun,train,1,xlmr,0.9998668
v2_00009,ಜಾಲ,noun,train,1,xlmr,0.9999023
v2_00010,ರಕ್ಷಿಸು,verb,train,1,xlmr,0.99987704
v2_00011,ಹೇಳು,verb,train,0,xlmr,0.99987715
v2_00012,ಅಧಿಕೃತ,adjective,train,1,xlmr,0.99989086
v2_00013,ಕಠಿಣವಾದಂತಹ,adjective,train,1,xlmr,0.99962133
v2_00014,ಸಮಯ,noun,train,0,xlmr,0.99555045
v2_00015,ಕಠಿಣ,adjective,train,1,xlmr,0.99850243
v2_00016,ಮುರಿ,verb,train,0,xlmr,0.9998234
v2_00017,ಹೊಡೆ,verb,train,0,xlmr,0.9966571
v2_00018,ಸಮಯ,noun,train,0,xlmr,0.9933612
v2_00019,ಒಳ್ಳೆಯ,adjective,train,1,xlmr,0.9991103
v2_00020,ದಂಡ,noun,train,0,xlmr,0.99968725
v2_00021,ಹಾಕು,verb,train,1,xlmr,0.99993175
v2_00022,ಕಠಿಣವಾದ,adjective,train,0,xlmr,0.99949783
v2_00023,ಗಂಟು,noun,train,1,xlmr,0.99989504
v2_00024,ನಿಲ್ಲಿಸು,verb,train,0,xlmr,0.99859315
v2_00025,ಹರಡು,verb,train,1,xlmr,0.99982435
v2_00026,ಜ್ಞಾನ,noun,train,0,xlmr,0.99936575
v2_00027,ದಂಡ,noun,train,0,xlmr,0.99967736
v2_00028,ವರ್ಗ,noun,train,0,xlmr,0.99882555
v2_00029,ಮುಚ್ಚು,verb,train,1,xlmr,0.99992007
v2_00030,ಕಟ್ಟು,noun,train,0,xlmr,0.99591655
v2_00031,ಸಮಯ,noun,train,0,xlmr,0.9977927
v2_00032,ಕಠಿಣ,adjective,train,0,xlmr,0.99821925
v2_00033,ವರ್ಗ,noun,train,1,xlmr,0.983012
v2_00034,ಬರು,verb,train,1,xlmr,0.9989986
v2_00035,ಗಂಟು,noun,train,1,xlmr,0.99991393
v2_00036,ತೆಗೆ,verb,train,1,xlmr,0.99815696
v2_00037,ಹೇಳು,verb,train,1,xlmr,0.9997915
v2_00038,ವರ್ಗ,noun,train,1,xlmr,0.9999151
v2_00039,ಹಾನಿ,noun,train,1,xlmr,0.9996366
v2_00040,ದುಃಖ,noun,train,1,xlmr,0.99940217
v2_00041,ಹರಡು,verb,train,0,xlmr,0.999629
v2_00042,ಮಾಡು,verb,train,0,xlmr,0.98755294
v2_00043,ಮಾಡು,verb,train,1,xlmr,0.9981225
v2_00044,ಸ್ಥಿರವಾದಂತಹ,adjective,train,0,xlmr,0.9969541
v2_00045,ದುಃಖ,noun,train,1,xlmr,0.99963164
v2_00046,ಸಮಯ,noun,train,1,xlmr,0.9981223
v2_00047,ಕಟ್ಟು,noun,train,0,xlmr,0.99710524
v2_00048,ಆರಿಸು,verb,train,1,xlmr,0.9997656
v2_00049,ಕಠಿಣವಾದಂತಹ,adjective,train,0,xlmr,0.9986576
v2_00050,ಒಳ್ಳೆಯ,adjective,train,1,xlmr,0.9999391
v2_00051,ಕಠಿಣವಾದಂತ,adjective,train,0,xlmr,0.99987394
v2_00052,ಒಣಗಿದ,adjective,train,1,xlmr,0.99707
v2_00053,ಹಾನಿ,noun,train,0,xlmr,0.9997071
v2_00054,ಆರಿಸು,verb,train,1,xlmr,0.99981976
v2_00055,ಶಕ್ತಿ,noun,train,1,xlmr,0.9996016
v2_00056,ಹೊಡೆ,verb,train,1,xlmr,0.99951077
v2_00057,ಹರಡು,verb,train,1,xlmr,0.9993397
v2_00058,ಸ್ಥಿರವಾದ,adjective,train,0,xlmr,0.9996184
v2_00059,ಒಳ್ಳೆಯ,adjective,train,1,xlmr,0.9998469
v2_00060,ಸ್ಥಿರವಾದ,adjective,train,1,xlmr,0.9996289
v2_00061,ಸಮಯ,noun,train,0,xlmr,0.9981955
v2_00062,ಹೊಡೆ,verb,train,1,xlmr,0.9976807
v2_00063,ಹಾನಿ,noun,train,0,xlmr,0.9992095
v2_00064,ವರ್ಗ,noun,train,1,xlmr,0.9948617
v2_00065,ಆರಿಸು,verb,train,0,xlmr,0.9976251
v2_00066,ಸಮಯ,noun,train,0,xlmr,0.99979866
v2_00067,ದಂಡ,noun,train,1,xlmr,0.9999579
v2_00068,ಸ್ಥಿರವಾದ,adjective,train,0,xlmr,0.9964559
v2_00069,ಬಲೆ,noun,train,1,xlmr,0.9968555
v2_00070,ರಕ್ಷಿಸು,verb,train,1,xlmr,0.9985724
v2_00071,ಜ್ಞಾನ,noun,train,0,xlmr,0.9995228
v2_00072,ಕಟ್ಟು,noun,train,1,xlmr,0.9902626
v2_00073,ಹೇಳು,verb,train,1,xlmr,0.9998268
v2_00074,ಸಮಯ,noun,train,1,xlmr,0.99347675
v2_00075,ಜಗಳ,noun,train,1,xlmr,0.99978
v2_00076,ಹೇಳು,verb,train,0,xlmr,0.9994033
v2_00077,ತೆಗೆ,verb,train,1,xlmr,0.9953027
v2_00078,ಸಮೂಹ,noun,train,0,xlmr,0.9983236
v2_00079,ತೆಗೆ,verb,train,0,xlmr,0.9990619
v2_00080,ಮುರಿ,verb,train,1,xlmr,0.99829483
v2_00081,ಹೊಡೆ,verb,train,1,xlmr,0.9999075
v2_00082,ಹಾನಿ,noun,train,0,xlmr,0.99947995
v2_00083,ವರ್ಗ,noun,train,0,xlmr,0.99288017
v2_00084,ಜಾಲ,noun,train,1,xlmr,0.9999375
v2_00085,ತೆಗೆ,verb,train,0,xlmr,0.9985014
v2_00086,ದುಃಖ,noun,train,1,xlmr,0.999858
v2_00087,ಒಣಗಿದ,adjective,train,1,xlmr,0.9998842
v2_00088,ಕಠಿಣವಾದಂತ,adjective,train,1,xlmr,0.9998932
v2_00089,ಗಟ್ಟಿಯಾದಂತ,adjective,train,1,xlmr,0.9995565
v2_00090,ಹೊಡೆ,verb,train,0,xlmr,0.998268
v2_00091,ಜ್ಞಾನ,noun,train,1,xlmr,0.999572
v2_00092,ದುಃಖ,noun,train,0,xlmr,0.9993371
v2_00093,ಜ್ಞಾನ,noun,train,1,xlmr,0.9974738
v2_00094,ಗುಂಪು,noun,train,0,xlmr,0.9997207
v2_00095,ಮುಚ್ಚು,verb,train,1,xlmr,0.9997585
v2_00096,ತೆಗೆ,verb,train,1,xlmr,0.99595964
v2_00097,ಹಗ್ಗ,noun,train,1,xlmr,0.99911106
v2_00098,ಮಾಡು,verb,train,0,xlmr,0.99976265
v2_00099,ಹೊಡೆ,verb,train,1,xlmr,0.9989673
v2_00100,ಹೊಡೆ,verb,train,1,xlmr,0.99991786
v2_00101,ಗಟ್ಟಿಯಾದಂತಹ,adjective,train,1,xlmr,0.99890244
v2_00102,ಹೊಡೆ,verb,train,0,xlmr,0.99538
v2_00103,ತೆಗೆ,verb,train,0,xlmr,0.98882574
v2_00104,ಹಾಕು,verb,train,1,xlmr,0.999811
v2_00105,ಆರಿಸು,verb,train,0,xlmr,0.9976554
v2_00106,ಹರಡು,verb,train,1,xlmr,0.9926789
v2_00107,ಗುಂಪು,noun,train,0,xlmr,0.9975858
v2_00108,ಹೊಡೆ,verb,train,1,xlmr,0.99983406
v2_00109,ಹೊಡೆ,verb,train,1,xlmr,0.9991727
v2_00110,ಶಕ್ತಿ,noun,train,1,xlmr,0.99991244
v2_00111,ಹೇಳು,verb,train,1,xlmr,0.9984701
v2_00112,ಓಡಿಸು,verb,train,1,xlmr,0.9999593
v2_00113,ದುಃಖ,noun,train,0,xlmr,0.9998727
v2_00114,ಹೇಳು,verb,train,0,xlmr,0.9995609
v2_00115,ಹರಡು,verb,train,0,xlmr,0.99976724
v2_00116,ಹಗ್ಗ,noun,train,0,xlmr,0.9942458
v2_00117,ಮುಚ್ಚು,verb,train,0,xlmr,0.99978656
v2_00118,ರಕ್ಷಿಸು,verb,train,1,xlmr,0.99814326
v2_00119,ಹೊಡೆ,verb,train,1,xlmr,0.99775726
v2_00120,ಜಗಳ,noun,train,0,xlmr,0.99962455
v2_00121,ತೆಗೆ,verb,train,0,xlmr,0.9985194
v2_00122,ಮುರಿ,verb,train,0,xlmr,0.9982294
v2_00123,ಗುಂಪು,noun,train,0,xlmr,0.99934083
v2_00124,ಹಗ್ಗ,noun,train,0,xlmr,0.9989953
v2_00125,ಬರು,verb,train,1,xlmr,0.99727476
v2_00126,ಮುರಿ,verb,train,0,xlmr,0.99992925
v2_00127,ಹಾಕು,verb,train,1,xlmr,0.9973224
v2_00128,ಹಾನಿ,noun,train,0,xlmr,0.9963891
v2_00129,ಆಗು,verb,train,0,xlmr,0.9997913
v2_00130,ಮಾಡು,verb,train,1,xlmr,0.9995958
v2_00131,ಹೊಡೆ,verb,train,0,xlmr,0.9993151
v2_00132,ಗಂಟು,noun,train,0,xlmr,0.99930817
v2_00133,ಮುರಿ,verb,train,0,xlmr,0.99702084
v2_00134,ದುಃಖ,noun,train,1,xlmr,0.99971724
v2_00135,ಜಗಳ,noun,train,0,xlmr,0.9996874
v2_00136,ಜ್ಞಾನ,noun,train,0,xlmr,0.99711794
v2_00137,ಮುಚ್ಚು,verb,train,0,xlmr,0.9995636
v2_00138,ಬಲೆ,noun,train,0,xlmr,0.9994079
v2_00139,ತೆಗೆ,verb,train,0,xlmr,0.99976206
v2_00140,ತೆಗೆ,verb,train,0,xlmr,0.9970105
v2_00141,ಗಟ್ಟಿಯಾದ,adjective,train,1,xlmr,0.9995458
v2_00142,ನಿಲ್ಲಿಸು,verb,train,1,xlmr,0.9997412
v2_00143,ತೆಗೆ,verb,train,0,xlmr,0.9995359
v2_00144,ಕಟ್ಟು,noun,train,1,xlmr,0.9774277
v2_00145,ಮುರಿ,verb,train,1,xlmr,0.998435
v2_00146,ಕಠಿಣವಾದ,adjective,train,1,xlmr,0.9991881
v2_00147,ಹಗ್ಗ,noun,train,1,xlmr,0.99995893
v2_00148,ಗಟ್ಟಿಯಾದ,adjective,train,1,xlmr,0.9984938
v2_00149,ವರ್ಗ,noun,train,0,xlmr,0.9984766
v2_00150,ಸಮೂಹ,noun,train,0,xlmr,0.9997943
v2_00151,ಅಧಿಕೃತ,adjective,train,0,xlmr,0.996536
v2_00152,ಆರಿಸು,verb,train,0,xlmr,0.9997626
v2_00153,ಬಲೆ,noun,train,0,xlmr,0.99937344
v2_00154,ಕಠಿಣವಾದ,adjective,train,0,xlmr,0.9998697
v2_00155,ಸಮೂಹ,noun,train,1,xlmr,0.99881953
v2_00156,ಅಧಿಕೃತ,adjective,train,1,xlmr,0.9991174
v2_00157,ನೀಚ,adjective,train,0,xlmr,0.9997302
v2_00158,ಒಣಗಿದ,adjective,train,1,xlmr,0.99631035
v2_00159,ಗಂಟು,noun,train,1,xlmr,0.99992484
v2_00160,ಆರಿಸು,verb,train,1,xlmr,0.9975815
v2_00161,ದಂಡ,noun,train,1,xlmr,0.999941
v2_00162,ಸಮಯ,noun,train,0,xlmr,0.99556255
v2_00163,ಅಧಿಕೃತ,adjective,train,1,xlmr,0.99724656
v2_00164,ವರ್ಗ,noun,train,1,xlmr,0.9910109
v2_00165,ಹೊಡೆ,verb,train,1,xlmr,0.9959447
v2_00166,ಮಾಡು,verb,train,0,xlmr,0.99897707
v2_00167,ನೀಚ,adjective,train,0,xlmr,0.9997914
v2_00168,ಮುರಿ,verb,train,1,xlmr,0.9999499
v2_00169,ಸಮೂಹ,noun,train,0,xlmr,0.99984765
v2_00170,ಮುಚ್ಚು,verb,train,0,xlmr,0.9995301
v2_00171,ಶಕ್ತಿ,noun,train,0,xlmr,0.999752
v2_00172,ಶಕ್ತಿ,noun,train,1,xlmr,0.9986523
v2_00173,ವರ್ಗ,noun,train,0,xlmr,0.9977062
v2_00174,ವರ್ಗ,noun,train,1,xlmr,0.9996331
v2_00175,ಹಾನಿ,noun,train,0,xlmr,0.99951494
v2_00176,ಶಕ್ತಿ,noun,train,1,xlmr,0.9973365
v2_00177,ತೆಗೆ,verb,train,1,xlmr,0.9996844
v2_00178,ಓಡಿಸು,verb,train,0,xlmr,0.99984425
v2_00179,ಹಗ್ಗ,noun,train,0,xlmr,0.998757
v2_00180,ಹೊಡೆ,verb,train,1,xlmr,0.9999043
v2_00181,ಕಟ್ಟು,noun,train,0,xlmr,0.99461395
v2_00182,ವರ್ಗ,noun,train,0,xlmr,0.999597
v2_00183,ಮುಚ್ಚು,verb,train,1,xlmr,0.99986905
v2_00184,ಮುರಿ,verb,train,1,xlmr,0.9960186
v2_00185,ಓಡಿಸು,verb,train,0,xlmr,0.99966395
v2_00186,ಕಠಿಣವಾದಂತ,adjective,train,0,xlmr,0.9996303
v2_00187,ಹೊಡೆ,verb,train,1,xlmr,0.9946045
v2_00188,ಹೇಳು,verb,train,0,xlmr,0.9995256
v2_00189,ಜಾಲ,noun,train,1,xlmr,0.9999266
v2_00190,ಮುಚ್ಚು,verb,train,1,xlmr,0.99992865
v2_00191,ಹೊಡೆ,verb,train,1,xlmr,0.9990142
v2_00192,ಸಮೂಹ,noun,train,0,xlmr,0.99979955
v2_00193,ಮುಚ್ಚು,verb,train,0,xlmr,0.9997184
v2_00194,ಜ್ಞಾನ,noun,train,0,xlmr,0.99723524
v2_00195,ಹಗ್ಗ,noun,train,1,xlmr,0.99639654
v2_00196,ಕಠಿಣವಾದ,adjective,train,1,xlmr,0.9991826
v2_00197,ಒಳ್ಳೆಯ,adjective,train,0,xlmr,0.9974052
v2_00198,ಮಾಡು,verb,train,1,xlmr,0.9982509
v2_00199,ಸ್ಥಿರವಾದಂತಹ,adjective,train,1,xlmr,0.9996001
v2_00200,ಮುಚ್ಚು,verb,train,1,xlmr,0.9989431
v2_00201,ಶಕ್ತಿ,noun,train,1,xlmr,0.99982816
v2_00202,ನಿಲ್ಲಿಸು,verb,train,1,xlmr,0.9998442
v2_00203,ಜ್ಞಾನ,noun,train,1,xlmr,0.9989924
v2_00204,ರಕ್ಷಿಸು,verb,train,1,xlmr,0.9996508
v2_00205,ಮುಚ್ಚು,verb,train,0,xlmr,0.9996982
v2_00206,ಸ್ಥಿರವಾದಂತಹ,adjective,train,1,xlmr,0.99373114
v2_00207,ನಿಲ್ಲಿಸು,verb,train,0,xlmr,0.9996557
v2_00208,ಸ್ಥಿರವಾದ,adjective,train,1,xlmr,0.99715495
v2_00209,ಕಟ್ಟು,noun,train,1,xlmr,0.99984556
v2_00210,ಮುಚ್ಚು,verb,train,0,xlmr,0.998185
v2_00211,ದಂಡ,noun,train,1,xlmr,0.9998252
v2_00212,ಸಮೂಹ,noun,train,0,xlmr,0.99920756
v2_00213,ಕಠಿಣ,adjective,train,1,xlmr,0.9997826
v2_00214,ಹರಡು,verb,train,0,xlmr,0.9995899
v2_00215,ಆಗು,verb,train,0,xlmr,0.999753
v2_00216,ಹಗ್ಗ,noun,train,1,xlmr,0.99957687
v2_00217,ಪೆಟ್ಟು,noun,train,1,xlmr,0.9999063
v2_00218,ನಿಲ್ಲಿಸು,verb,train,1,xlmr,0.99344814
v2_00219,ವರ್ಗ,noun,train,1,xlmr,0.996341
v2_00220,ಕಠಿಣವಾದಂತ,adjective,train,1,xlmr,0.9996032
v2_00221,ಹೇಳು,verb,train,0,xlmr,0.9968546
v2_00222,ಹಾನಿ,noun,train,1,xlmr,0.9984165
v2_00223,ಮುಚ್ಚು,verb,train,0,xlmr,0.99964964
v2_00224,ವರ್ಗ,noun,train,0,xlmr,0.9954678
v2_00225,ಹಗ್ಗ,noun,train,1,xlmr,0.9997838
v2_00226,ಜಾಲ,noun,train,1,xlmr,0.9925245
v2_00227,ಆರಿಸು,verb,train,0,xlmr,0.9991659
v2_00228,ತೆಗೆ,verb,train,0,xlmr,0.99947035
v2_00229,ಗುಂಪು,noun,train,0,xlmr,0.9991625
v2_00230,ಹೇಳು,verb,train,0,xlmr,0.9996283
v2_00231,ಹೊಡೆ,verb,train,0,xlmr,0.9989799
v2_00232,ಕಠಿಣವಾದ,adjective,train,0,xlmr,0.9955391
v2_00233,ಮಾಡು,verb,train,1,xlmr,0.99983084
v2_00234,ಒಣಗಿದ,adjective,train,1,xlmr,0.9991508
v2_00235,ಪೆಟ್ಟು,noun,train,1,xlmr,0.999849
v2_00236,ದಂಡ,noun,train,0,xlmr,0.9994709
v2_00237,ಹೇಳು,verb,train,1,xlmr,0.9961356
v2_00238,ಬಲೆ,noun,train,1,xlmr,0.99874824
v2_00239,ಕಟ್ಟು,noun,train,1,xlmr,0.9909583
v2_00240,ಹಾನಿ,noun,train,1,xlmr,0.9998808
v2_00241,ಬಲೆ,noun,train,1,xlmr,0.9996133
v2_00242,ಹಾನಿ,noun,train,1,xlmr,0.9990816
v2_00243,ಜಾಲ,noun,train,1,xlmr,0.99950284
v2_00244,ಆಗು,verb,train,0,xlmr,0.9965934
v2_00245,ದಂಡ,noun,train,1,xlmr,0.99937147
v2_00246,ಸಮಯ,noun,train,0,xlmr,0.99668056
v2_00247,ಬರು,verb,train,0,xlmr,0.99966764
v2_00248,ತೆಗೆ,verb,train,0,xlmr,0.99846244
v2_00249,ಕಟ್ಟು,noun,train,0,xlmr,0.99962026
v2_00250,ಹೇಳು,verb,train,0,xlmr,0.9998014
v2_00251,ವರ್ಗ,noun,train,1,xlmr,0.9988134
v2_00252,ಪೆಟ್ಟು,noun,train,0,xlmr,0.9993868
v2_00253,ಆರಿಸು,verb,train,0,xlmr,0.9954166
v2_00254,ದುಃಖ,noun,train,1,xlmr,0.9997466
v2_00255,ಹೊಡೆ,verb,train,1,xlmr,0.99137455
v2_00256,ಅಧಿಕೃತ,adjective,train,1,xlmr,0.99595183
v2_00257,ಓಡಿಸು,verb,train,1,xlmr,0.9999084
v2_00258,ಹಾನಿ,noun,train,1,xlmr,0.9994272
v2_00259,ಜಾಲ,noun,train,0,xlmr,0.9928358
v2_00260,ಹಾನಿ,noun,train,0,xlmr,0.9992259
v2_00261,ಜ್ಞಾನ,noun,train,1,xlmr,0.9997169
v2_00262,ಆರಿಸು,verb,train,0,xlmr,0.999711
v2_00263,ಆಗು,verb,train,0,xlmr,0.99764854
v2_00264,ಮುಚ್ಚು,verb,train,0,xlmr,0.99473
v2_00265,ಸ್ಥಿರವಾದ,adjective,train,0,xlmr,0.9996885
v2_00266,ಹೇಳು,verb,train,0,xlmr,0.9968858
v2_00267,ದುಃಖ,noun,train,1,xlmr,0.9991948
v2_00268,ಹೇಳು,verb,train,0,xlmr,0.99979466
v2_00269,ಗಂಟು,noun,train,1,xlmr,0.9999635
v2_00270,ಗಟ್ಟಿಯಾದಂತ,adjective,train,1,xlmr,0.99976456
v2_00271,ಕಟ್ಟು,noun,train,1,xlmr,0.99764955
v2_00272,ಹೇಳು,verb,train,0,xlmr,0.9995665
v2_00273,ನಿಲ್ಲಿಸು,verb,train,0,xlmr,0.9996344
v2_00274,ಸಮಯ,noun,train,1,xlmr,0.9997857
v2_00275,ತೆಗೆ,verb,train,0,xlmr,0.99973506
v2_00276,ಜ್ಞಾನ,noun,train,0,xlmr,0.9986705
v2_00277,ಮುರಿ,verb,train,0,xlmr,0.9997598
v2_00278,ತೆಗೆ,verb,train,0,xlmr,0.9997957
v2_00279,ರಕ್ಷಿಸು,verb,train,1,xlmr,0.99706423
v2_00280,ಗಟ್ಟಿಯಾದಂತಹ,adjective,train,1,xlmr,0.99900794
v2_00281,ಜ್ಞಾನ,noun,train,0,xlmr,0.99961764
v2_00282,ಶಕ್ತಿ,noun,train,1,xlmr,0.9978598
v2_00283,ಆರಿಸು,verb,train,1,xlmr,0.9993073
v2_00284,ತೆಗೆ,verb,train,0,xlmr,0.997679
v2_00285,ಹೊಡೆ,verb,train,1,xlmr,0.99993473
v2_00286,ಶಕ್ತಿ,noun,train,1,xlmr,0.9999151
v2_00287,ಬಲೆ,noun,train,0,xlmr,0.99818075
v2_00288,ಜ್ಞಾನ,noun,train,1,xlmr,0.99969834
v2_00289,ಕಟ್ಟು,noun,train,0,xlmr,0.99933475
v2_00290,ಸ್ಥಿರವಾದ,adjective,train,0,xlmr,0.99650407
v2_00291,ಕಟ್ಟು,noun,train,1,xlmr,0.99983335
v2_00292,ನಿಲ್ಲಿಸು,verb,train,0,xlmr,0.9998693
v2_00293,ಆಗು,verb,train,1,xlmr,0.9973996
v2_00294,ಬಲೆ,noun,train,1,xlmr,0.9958574
v2_00295,ತೆಗೆ,verb,train,1,xlmr,0.99961084
v2_00296,ಆಗು,verb,train,0,xlmr,0.9994093
v2_00297,ಸಮಯ,noun,train,1,xlmr,0.99549484
