word,romanization,sense_id,sense_gloss,sentence,sentence_key
ಮಾತು,mātu,1,Word/speech,ನನ್ನ ಮಾತು ಆಲಿಸಿ.,ನನ್ನ ಮಾತು ಆಲಿಸಿ
ಮಾತು,mātu,1,Word/speech,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,ಆ ಮಾತು ನಿಜವಾಗಿದೆ
ಮಾತು,mātu,1,Word/speech,"ಮಾತುಗಳ ಅರ್ಥ ಅಲ್ಲ, ಭಾವ ಪ್ರಮುಖ.","ಮಾತುಗಳ ಅರ್ಥ ಅಲ್ಲ, ಭಾವ ಪ್ರಮುಖ"
ಮಾತು,mātu,2,Matter/issue/subject,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,ಇದು ಗಮನಾರ್ಹ ಮಾತು
ಮಾತು,mātu,2,Matter/issue/subject,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ.,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ
ಮಾತು,mātu,2,Matter/issue/subject,ಕ್ರೀಡಾ ಮಾತು ಈತನಿಗೆ ಆಸಕ್ತಿ.,ಕ್ರೀಡಾ ಮಾತು ಈತನಿಗೆ ಆಸಕ್ತಿ
ಮಾತು,mātu,3,Talk/discussion/gossip,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ
ಮಾತು,mātu,3,Talk/discussion/gossip,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ
ಹಸ್ತ,hasta,1,Hand (body part),ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು
ಹಸ್ತ,hasta,1,Hand (body part),ಹಸ್ತ ತೊಳೆಯಿರಿ.,ಹಸ್ತ ತೊಳೆಯಿರಿ
ಹಸ್ತ,hasta,1,Hand (body part),ಬಲಹಸ್ತ ಕಾಲಿದಾಗ ಶಸ್ತ್ರ ಸರಿಸಿ.,ಬಲಹಸ್ತ ಕಾಲಿದಾಗ ಶಸ್ತ್ರ ಸರಿಸಿ
ಹಸ್ತ,hasta,2,Trunk (of elephant),ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ
