x,y,sense_id,sentence
-3.7192838,-16.41088,1,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.
-73.95708,-4.4112296,1,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.
92.27975,2.0639114,2,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.
76.35325,-24.172462,2,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.
-48.39711,24.476477,5,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.
-19.55537,28.140171,5,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.
14.308553,0.64595264,3,ಕಾಲ ನೋಡುತ್ತಿರುವುದೇ ಅದು.
-29.391258,-38.699734,3,ಕಾಲದ ಸಮಯ ನಿಗದಿತವಾಗಿದೆ.
31.860922,-66.81601,4,ಕಾಲ ಬಟ್ಟೆ ಧರಿಸಿ.
36.05207,-36.21914,4,ಕಾಲ ಮೇಘ ಗಾಳಿ ಬೀಸುತ್ತಿದೆ.
