pair_id,section,section_word,sentence1,sentence2,target_word,target_key,label_raw,label,sense_id_1,sense_id_2,label_corrected,pair_source
pair_0001,word,ಮಾತು (mātu),ನನ್ನ ಮಾತು ಆಲಿಸಿ.,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,ಮಾತು,ಮಾತು,1,1,1,1.0,1,
pair_0002,word,ಮಾತು (mātu),"ಮಾತುಗಳ ಅರ್ಥ ಅಲ್ಲ, ಭಾವ ಪ್ರಮುಖ.",ಪದವಿನ ಮಾತು ಆಲಿಸಿ.,ಮಾತು,ಮಾತು,1,1,1,,1,
pair_0003,word,ಮಾತು (mātu),ಇದು ಗಮನಾರ್ಹ ಮಾತು.,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ.,ಮಾತು,ಮಾತು,1,1,2,2.0,1,
pair_0004,word,ಮಾತು (mātu),ಕ್ರೀಡಾ ಮಾತು ಈತನಿಗೆ ಆಸಕ್ತಿ.,ಉದ್ಯೋಗ ಮಾತುವನ್ನು ಪರಿಹರಿಸಬೇಕು.,ಮಾತು,ಮಾತು,1,1,2,,1,
pair_0005,word,ಮಾತು (mātu),ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,ಮಾತು,ಮಾತು,1,1,3,3.0,1,
pair_0006,word,ಹಸ್ತ (hasta),ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,ಹಸ್ತ ತೊಳೆಯಿರಿ.,ಹಸ್ತ,ಹಸ್ತ,1,1,1,1.0,1,
pair_0007,word,ಹಸ್ತ (hasta),ಬಲಹಸ್ತ ಕಾಲಿದಾಗ ಶಸ್ತ್ರ ಸರಿಸಿ.,ನನ್ನ ಹಸ್ತ ಗ್ರಹಿಸಿ.,ಹಸ್ತ,ಹಸ್ತ,1,1,1,,1,
pair_0008,word,ಹಸ್ತ (hasta),ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ.,ಹಸ್ತ,ಹಸ್ತ,1,1,2,2.0,1,
pair_0009,word,ಹಸ್ತ (hasta),ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ.,ಹಸ್ತ,ಹಸ್ತ,1,1,3,3.0,1,
pair_0010,word,ಹಸ್ತ (hasta),ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,ಆ ಭೂಮಿ ನಿನ್ನ ಹಸ್ತದಲ್ಲಿದೆ.,ಹಸ್ತ,ಹಸ್ತ,1,1,4,4.0,1,
