pair_id,sentence1,sentence2,target_word,label_corrected,sense_id_1,sense_id_2,gold_label,split,model,similarity
pair_0001,ನನ್ನ ಮಾತು ಆಲಿಸಿ.,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,ಮಾತು,1,1,1.0,1,validation,indicbert,0.844936192035675
pair_0003,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ.,ಮಾತು,1,2,2.0,1,test,indicbert,-0.22462929785251617
pair_0005,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,ಮಾತು,1,3,3.0,1,test,indicbert,0.8775827884674072
pair_0006,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,ಹಸ್ತ ತೊಳೆಯಿರಿ.,ಹಸ್ತ,1,1,1.0,1,validation,indicbert,0.8326693773269653
pair_0008,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ.,ಹಸ್ತ,1,2,2.0,1,test,indicbert,0.7786961793899536
pair_0009,ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ.,ಹಸ್ತ,1,3,3.0,1,test,indicbert,0.7591904401779175
pair_0010,ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,ಆ ಭೂಮಿ ನಿನ್ನ ಹಸ್ತದಲ್ಲಿದೆ.,ಹಸ್ತ,1,4,4.0,1,test,indicbert,0.8506456017494202
pair_0011,ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ.,ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ.,ಬಾಗ,1,1,1.0,1,validation,indicbert,0.5916408896446228
pair_0012,ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ.,ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ.,ಬಾಗ,1,2,2.0,1,test,indicbert,0.8676833510398865
pair_0013,ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ.,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.,ಬಾಗ,1,3,3.0,1,test,indicbert,0.6448717713356018
pair_0014,ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.,ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ?,ಚಿತ್ರ,1,1,1.0,1,test,indicbert,0.8946951627731323
