x,y,sense_id,sentence
12.762869,17.098492,1,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.
31.581997,11.452119,1,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.
31.545511,-9.897445,2,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.
25.886848,-7.7347627,2,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.
17.651295,0.9888387,5,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.
22.35523,6.6065516,5,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.
5.2037134,20.396236,3,ಕಾಲ ನೋಡುತ್ತಿರುವುದೇ ಅದು.
4.9725904,12.035279,3,ಕಾಲದ ಸಮಯ ನಿಗದಿತವಾಗಿದೆ.
19.970102,16.085756,4,ಕಾಲ ಬಟ್ಟೆ ಧರಿಸಿ.
12.904351,10.051755,4,ಕಾಲ ಮೇಘ ಗಾಳಿ ಬೀಸುತ್ತಿದೆ.
