pair_id,target_word,pos,split,label,model,similarity
v2_00001,ಕಟ್ಟು,noun,train,0,muril,0.99964255
v2_00002,ಕಟ್ಟು,noun,train,1,muril,0.9998575
v2_00003,ಕಠಿಣವಾದಂತ,adjective,train,1,muril,0.9996285
v2_00004,ಹಾನಿ,noun,train,0,muril,0.9993592
v2_00005,ದಂಡ,noun,train,1,muril,0.99925065
v2_00006,ನೀಚ,adjective,train,1,muril,0.9989098
v2_00007,ಗಂಟು,noun,train,1,muril,0.9982663
v2_00008,ಕಟ್ಟು,noun,train,1,muril,0.9996191
v2_00009,ಜಾಲ,noun,train,1,muril,0.9998212
v2_00010,ರಕ್ಷಿಸು,verb,train,1,muril,0.99961287
v2_00011,ಹೇಳು,verb,train,0,muril,0.9995285
v2_00012,ಅಧಿಕೃತ,adjective,train,1,muril,0.99988925
v2_00013,ಕಠಿಣವಾದಂತಹ,adjective,train,1,muril,0.99962074
v2_00014,ಸಮಯ,noun,train,0,muril,0.99927384
v2_00015,ಕಠಿಣ,adjective,train,1,muril,0.99886996
v2_00016,ಮುರಿ,verb,train,0,muril,0.9996045
v2_00017,ಹೊಡೆ,verb,train,0,muril,0.99869543
v2_00018,ಸಮಯ,noun,train,0,muril,0.99938595
v2_00019,ಒಳ್ಳೆಯ,adjective,train,1,muril,0.99973756
v2_00020,ದಂಡ,noun,train,0,muril,0.999014
v2_00021,ಹಾಕು,verb,train,1,muril,0.99961233
v2_00022,ಕಠಿಣವಾದ,adjective,train,0,muril,0.99952286
v2_00023,ಗಂಟು,noun,train,1,muril,0.9999063
v2_00024,ನಿಲ್ಲಿಸು,verb,train,0,muril,0.9987952
v2_00025,ಹರಡು,verb,train,1,muril,0.9996599
v2_00026,ಜ್ಞಾನ,noun,train,0,muril,0.99972
v2_00027,ದಂಡ,noun,train,0,muril,0.99925566
v2_00028,ವರ್ಗ,noun,train,0,muril,0.99959886
v2_00029,ಮುಚ್ಚು,verb,train,1,muril,0.99985373
v2_00030,ಕಟ್ಟು,noun,train,0,muril,0.99929965
v2_00031,ಸಮಯ,noun,train,0,muril,0.99954194
v2_00032,ಕಠಿಣ,adjective,train,0,muril,0.99942195
v2_00033,ವರ್ಗ,noun,train,1,muril,0.9990949
v2_00034,ಬರು,verb,train,1,muril,0.9994547
v2_00035,ಗಂಟು,noun,train,1,muril,0.99985117
v2_00036,ತೆಗೆ,verb,train,1,muril,0.99956906
v2_00037,ಹೇಳು,verb,train,1,muril,0.99958175
v2_00038,ವರ್ಗ,noun,train,1,muril,0.9998591
v2_00039,ಹಾನಿ,noun,train,1,muril,0.99946654
v2_00040,ದುಃಖ,noun,train,1,muril,0.9990828
v2_00041,ಹರಡು,verb,train,0,muril,0.99943584
v2_00042,ಮಾಡು,verb,train,0,muril,0.9994034
v2_00043,ಮಾಡು,verb,train,1,muril,0.9990043
v2_00044,ಸ್ಥಿರವಾದಂತಹ,adjective,train,0,muril,0.999534
v2_00045,ದುಃಖ,noun,train,1,muril,0.999908
v2_00046,ಸಮಯ,noun,train,1,muril,0.9995358
v2_00047,ಕಟ್ಟು,noun,train,0,muril,0.9993057
v2_00048,ಆರಿಸು,verb,train,1,muril,0.99976707
v2_00049,ಕಠಿಣವಾದಂತಹ,adjective,train,0,muril,0.99921745
v2_00050,ಒಳ್ಳೆಯ,adjective,train,1,muril,0.9994988
v2_00051,ಕಠಿಣವಾದಂತ,adjective,train,0,muril,0.99968594
v2_00052,ಒಣಗಿದ,adjective,train,1,muril,0.99928
v2_00053,ಹಾನಿ,noun,train,0,muril,0.9995968
v2_00054,ಆರಿಸು,verb,train,1,muril,0.99975336
v2_00055,ಶಕ್ತಿ,noun,train,1,muril,0.9994175
v2_00056,ಹೊಡೆ,verb,train,1,muril,0.9993899
v2_00057,ಹರಡು,verb,train,1,muril,0.9995157
v2_00058,ಸ್ಥಿರವಾದ,adjective,train,0,muril,0.9993438
v2_00059,ಒಳ್ಳೆಯ,adjective,train,1,muril,0.9996522
v2_00060,ಸ್ಥಿರವಾದ,adjective,train,1,muril,0.99950194
v2_00061,ಸಮಯ,noun,train,0,muril,0.9993812
v2_00062,ಹೊಡೆ,verb,train,1,muril,0.9987815
v2_00063,ಹಾನಿ,noun,train,0,muril,0.9998351
v2_00064,ವರ್ಗ,noun,train,1,muril,0.9987885
v2_00065,ಆರಿಸು,verb,train,0,muril,0.99927
v2_00066,ಸಮಯ,noun,train,0,muril,0.9995563
v2_00067,ದಂಡ,noun,train,1,muril,0.99985605
v2_00068,ಸ್ಥಿರವಾದ,adjective,train,0,muril,0.99919033
v2_00069,ಬಲೆ,noun,train,1,muril,0.9988919
v2_00070,ರಕ್ಷಿಸು,verb,train,1,muril,0.99981207
v2_00071,ಜ್ಞಾನ,noun,train,0,muril,0.9995596
v2_00072,ಕಟ್ಟು,noun,train,1,muril,0.9993705
v2_00073,ಹೇಳು,verb,train,1,muril,0.9997172
v2_00074,ಸಮಯ,noun,train,1,muril,0.9994185
v2_00075,ಜಗಳ,noun,train,1,muril,0.9996305
v2_00076,ಹೇಳು,verb,train,0,muril,0.9997477
v2_00077,ತೆಗೆ,verb,train,1,muril,0.9992808
v2_00078,ಸಮೂಹ,noun,train,0,muril,0.9995706
v2_00079,ತೆಗೆ,verb,train,0,muril,0.99915946
v2_00080,ಮುರಿ,verb,train,1,muril,0.99953204
v2_00081,ಹೊಡೆ,verb,train,1,muril,0.999654
v2_00082,ಹಾನಿ,noun,train,0,muril,0.99972135
v2_00083,ವರ್ಗ,noun,train,0,muril,0.99962103
v2_00084,ಜಾಲ,noun,train,1,muril,0.9994842
v2_00085,ತೆಗೆ,verb,train,0,muril,0.9980634
v2_00086,ದುಃಖ,noun,train,1,muril,0.99991137
v2_00087,ಒಣಗಿದ,adjective,train,1,muril,0.99897736
v2_00088,ಕಠಿಣವಾದಂತ,adjective,train,1,muril,0.9996674
v2_00089,ಗಟ್ಟಿಯಾದಂತ,adjective,train,1,muril,0.9994192
v2_00090,ಹೊಡೆ,verb,train,0,muril,0.99953574
v2_00091,ಜ್ಞಾನ,noun,train,1,muril,0.99972343
v2_00092,ದುಃಖ,noun,train,0,muril,0.9989556
v2_00093,ಜ್ಞಾನ,noun,train,1,muril,0.99945223
v2_00094,ಗುಂಪು,noun,train,0,muril,0.9998001
v2_00095,ಮುಚ್ಚು,verb,train,1,muril,0.9993814
v2_00096,ತೆಗೆ,verb,train,1,muril,0.9994757
v2_00097,ಹಗ್ಗ,noun,train,1,muril,0.9993048
v2_00098,ಮಾಡು,verb,train,0,muril,0.9998536
v2_00099,ಹೊಡೆ,verb,train,1,muril,0.9996014
v2_00100,ಹೊಡೆ,verb,train,1,muril,0.9996896
v2_00101,ಗಟ್ಟಿಯಾದಂತಹ,adjective,train,1,muril,0.99984723
v2_00102,ಹೊಡೆ,verb,train,0,muril,0.9990598
v2_00103,ತೆಗೆ,verb,train,0,muril,0.9995433
v2_00104,ಹಾಕು,verb,train,1,muril,0.9997568
v2_00105,ಆರಿಸು,verb,train,0,muril,0.9991007
v2_00106,ಹರಡು,verb,train,1,muril,0.99905413
v2_00107,ಗುಂಪು,noun,train,0,muril,0.9991773
