pair_id,target_word,pos,sentence1,sentence2,synset_1,synset_2,label,split,kannada_ratio_1,kannada_ratio_2,quality_flag
v2_00571,ದಂಡ,noun,ಗ್ರಂಥಾಲಯದಲ್ಲಿ ಹದಿನೈದು ದಿನದೊಳಗೆ ಪುಸ್ತಕವನ್ನು ಹಿಂದಿರುಗಿಸದಿದ್ದರೆ ಪ್ರತಿ ದಿನ ಒಂದು ರೂಪಾಯಿ ದಂಡ ಕಟ್ಟಬೇಕಾಗುತ್ತದೆ.,"ಈ ವಾಕ್ಯದಲ್ಲಿ ದಂಡ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದೇ ಪ್ರಕಾರದ ತಪ್ಪು, ಮೋಸ ಅಥವಾ ಮರೆವಿನ ಕಾರಣದಿಂದಾಗಿ ಅಧಿಕಾರಿಗಳು ವಿಧಿಸಲಾಗುವಂತಹ ಅರ್ಥದಂಡ",35809,35809,1,test,0.8932038834951457,0.8571428571428571,ok
v2_00266,ಹೇಳು,verb,ನನ್ನ ಅತ್ತೆ ನನಗೆ ಯಾವಾಗಲೂ ಏನನ್ನಾದರೂ ಹೇಳುತ್ತಿರುತ್ತಾರೆ.,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೇಳು ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದಾದರು ಕಾರ್ಯದ ಆಕಾರ, ಪ್ರಕಾರ ಅಥವಾ ವಿಧಿ ಮೊದಲಾದವುಗಳ ತಿಳುವಳಿಕೆಯನ್ನು ನೀಡುವುದು",11483,7106,0,train,0.8823529411764706,0.8571428571428571,ok
v2_00292,ನಿಲ್ಲಿಸು,verb,ಈ ವಾಕ್ಯದಲ್ಲಿ ನಿಲ್ಲಿಸು ಎಂಬ ಪದದ ಅರ್ಥ ಯಾರೋ ಒಬ್ಬರನ್ನು ಮುಂದೆ ಹೋಗದಂತೆ ತಡೆಯುವ ಪ್ರಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ನಿಲ್ಲಿಸು ಎಂಬ ಪದದ ಅರ್ಥ ಮಾಡಲು ಹೋರಟಿರುವ ಅಥವಾ ಮಾಡುತ್ತಿರುವ ಕೆಲಸವನ್ನು ನಿಲ್ಲಿಸುವ ಪ್ರಕ್ರಿಯೆ,12225,34883,0,train,0.8625,0.875,ok
v2_00598,ಕಟ್ಟು,noun,"ಕಟ್ಟು ಕುರಿತು ಹಗ್ಗ, ನೂಲು ಮೊದಲಾದವುಗಳ ಬಲೆ ಮಧ್ಯೆದಲ್ಲಿ ಸಿಕ್ಕಿಕೊಳ್ಳುವ ಜೀವಿ ಬಂಧನಕ್ಕೊಳ್ಳಗಾಗುತ್ತದೆ ಮತ್ತು ಬಲೆಯನ್ನು ಗಟ್ಟಿಯಾಗಿ ಕಟ್ಟುವುದರಿಂದ ಪ್ರಾಯಶಃ ಸತ್ತು ಹೋಗುತ್ತದೆ","ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಟ್ಟು ಎಂಬ ಪದದ ಅರ್ಥ ಹಗ್ಗ, ನೂಲು ಮೊದಲಾದವುಗಳ ಬಲೆ ಮಧ್ಯೆದಲ್ಲಿ ಸಿಕ್ಕಿಕೊಳ್ಳುವ ಜೀವಿ ಬಂಧನಕ್ಕೊಳ್ಳಗಾಗುತ್ತದೆ ಮತ್ತು ಬಲೆಯನ್ನು ಗಟ್ಟಿಯಾಗಿ ಕಟ್ಟುವುದರಿಂದ ಪ್ರಾಯಶಃ ಸತ್ತು ಹೋಗುತ್ತದೆ",7019,7019,1,test,0.8874172185430463,0.8764705882352941,ok
v2_00175,ಹಾನಿ,noun,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹಾನಿ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದೇ ವ್ಯಾಪಾರದಲ್ಲಿ ಆಗುವ ನಷ್ಟ,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಹಾನಿ ಎಂಬ ಪದದ ಅರ್ಥ ಕೆಲಸ, ಪ್ರಗತಿ, ಮಾರ್ಗ ಮುಂತಾದವುಗಳಲ್ಲಿ ಎದ್ದು ನಿಲ್ಲುವ ಅಥವಾ ಬರುವ ಅಡಚಣೆ",2246,2524,0,train,0.85,0.8315789473684211,ok
v2_00248,ತೆಗೆ,verb,ಅಮ್ಮನ ನಾಲ್ಕು ಸೀರೆಗಳಲ್ಲಿ ಶೀಲ ಒಂದು ಆರಿಸಿ ತೆಗೆದುಕೊಂಡಳು.,ತೆಗೆ ಕುರಿತು ಛಾತಾಚಿತ್ರ ಮುಂತಾದವುಗಳನ್ನು ತೆಗೆದು ಮಾಡುವ ಪ್ರಕ್ರಿಯೆ,12023,36481,0,train,0.8653846153846154,0.8983050847457628,ok
v2_00159,ಗಂಟು,noun,ಗಂಟು ಕುರಿತು ತುಂಡಾದ ಆ ಭಾಗವನ್ನು ಯಾವುದಾದರು ವಸ್ತುವಿನೊಂದಿಗೆ ಜೋಡಿಸಬೇಕು,ಈ ವಾಕ್ಯದಲ್ಲಿ ಗಂಟು ಎಂಬ ಪದದ ಅರ್ಥ ತುಂಡಾದ ಆ ಭಾಗವನ್ನು ಯಾವುದಾದರು ವಸ್ತುವಿನೊಂದಿಗೆ ಜೋಡಿಸಬೇಕು,21840,21840,1,train,0.890625,0.8674698795180723,ok
v2_00070,ರಕ್ಷಿಸು,verb,ರಕ್ಷಿಸು ಕುರಿತು ನಮ್ಮ ರಕ್ಷಣೆ ಅಥವಾ ಅಧಿಕಾರದಲ್ಲಿ ಇಟ್ಟಿರುವಂತಹ,ಈ ವಾಕ್ಯದಲ್ಲಿ ರಕ್ಷಿಸು ಎಂಬ ಪದದ ಅರ್ಥ ನಮ್ಮ ರಕ್ಷಣೆ ಅಥವಾ ಅಧಿಕಾರದಲ್ಲಿ ಇಟ್ಟಿರುವಂತಹ,11184,11184,1,train,0.8909090909090909,0.8648648648648649,ok
v2_00032,ಕಠಿಣ,adjective,ಕಠಿಣ ಕುರಿತು ತುಂಬಾ ಕಠೋರ ಅಥವಾ ಬಿರುಸಾದಂತಹ,ಮನೆಯ ಆರ್ಥಿಕ ಸ್ಥಿತಿ ಹಾಳಾಗುತ್ತಿರುವುದರಿಂದ ನಮ್ಮ ಜೀವನ ಕಠಿಣವಾಗಿ ಹೋಗುತ್ತಿದೆ.,13388,9141,0,train,0.868421052631579,0.8840579710144928,ok
v2_00276,ಜ್ಞಾನ,noun,ಈ ವಾಕ್ಯದಲ್ಲಿ ಜ್ಞಾನ ಎಂಬ ಪದದ ಅರ್ಥ ಆ ಮಾತು ಮುಂತಾದವು ಯಾರನ್ನಾದರೂ ಯಾವುದಾದರು ವಿಷಯದ ಜ್ಞಾನ ಅಥವಾ ಪರಿಚಯವನ್ನು ಮಾಡುವುದಕ್ಕೋಸ್ಕರ ಮಾತನಾಡಲಾಗುತ್ತದೆ,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಜ್ಞಾನ ಎಂಬ ಪದದ ಅರ್ಥ ಜನ-ಸಾಧಾರಣರ ಹಿತಕ್ಕಾಗಿ ವಿಧಾನ/ವಿಚಾರ, ಆಚರಣೆಗಳನ್ನು ಹೇಳುವಂತಹ ಧಾರ್ಮಿಕವಾದ ಗ್ರಂಥ",3649,6009,0,train,0.875,0.8543689320388349,ok
